group_name,group_multiplier,group_disabled,model_id,price_kind,charge_type,unit,label,raw_line,base_amount_1,base_amount_2,effective_amount_1,effective_amount_2
vip-1-codex,0.25,False,gpt-5-2025-08-07,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-5-2025-08-07,输出,paid,M,,输出 ¥150.0000/M,150,,37.5,
vip-1-codex,0.25,False,gpt-5-chat,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-5-chat,输出,paid,M,,输出 ¥150.0000/M,150,,37.5,
vip-1-codex,0.25,False,gpt-5-chat-latest,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-5-chat-latest,输出,paid,M,,输出 ¥150.0000/M,150,,37.5,
vip-1-codex,0.25,False,gpt-5-codex,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-5-codex,输出,paid,M,,输出 ¥150.0000/M,150,,37.5,
vip-1-codex,0.25,False,gpt-5-codex-high,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-5-codex-high,输出,paid,M,,输出 ¥150.0000/M,150,,37.5,
vip-1-codex,0.25,False,gpt-5-codex-low,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-5-codex-low,输出,paid,M,,输出 ¥150.0000/M,150,,37.5,
vip-1-codex,0.25,False,gpt-5-codex-medium,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-5-codex-medium,输出,paid,M,,输出 ¥150.0000/M,150,,37.5,
vip-1-codex,0.25,False,gpt-5-codex-mini,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-5-codex-mini,输出,paid,M,,输出 ¥150.0000/M,150,,37.5,
vip-1-codex,0.25,False,gpt-5-codex-mini-high,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-5-codex-mini-high,输出,paid,M,,输出 ¥150.0000/M,150,,37.5,
vip-1-codex,0.25,False,gpt-5-codex-mini-medium,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-5-codex-mini-medium,输出,paid,M,,输出 ¥150.0000/M,150,,37.5,
vip-1-codex,0.25,False,gpt-5-mini,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-5-mini,输出,paid,M,,输出 ¥150.0000/M,150,,37.5,
vip-1-codex,0.25,False,gpt-5-mini-2025-08-07,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-5-mini-2025-08-07,输出,paid,M,,输出 ¥150.0000/M,150,,37.5,
vip-1-codex,0.25,False,gpt-5-nano,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-5-nano,输出,paid,M,,输出 ¥150.0000/M,150,,37.5,
vip-1-codex,0.25,False,gpt-5-nano-2025-08-07,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-5-nano-2025-08-07,输出,paid,M,,输出 ¥150.0000/M,150,,37.5,
vip-1-codex,0.25,False,gpt-5-pro,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-5-pro,输出,paid,M,,输出 ¥150.0000/M,150,,37.5,
vip-1-codex,0.25,False,gpt-5-pro-2025-10-06,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-5-pro-2025-10-06,输出,paid,M,,输出 ¥150.0000/M,150,,37.5,
vip-1-codex,0.25,False,gpt-5.1,输入,paid,M,,输入 ¥0.4380/M,0.438,,0.1095,
vip-1-codex,0.25,False,gpt-5.1,输出,paid,M,,输出 ¥3.5000/M,3.5,,0.875,
vip-1-codex,0.25,False,gpt-5.1-2025-11-13,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-5.1-2025-11-13,输出,paid,M,,输出 ¥150.0000/M,150,,37.5,
vip-1-codex,0.25,False,gpt-5.1-chat-latest,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-5.1-chat-latest,输出,paid,M,,输出 ¥150.0000/M,150,,37.5,
vip-1-codex,0.25,False,gpt-5.1-codex,输入,paid,M,,输入 ¥0.4380/M,0.438,,0.1095,
vip-1-codex,0.25,False,gpt-5.1-codex,输出,paid,M,,输出 ¥3.5000/M,3.5,,0.875,
vip-1-codex,0.25,False,gpt-5.1-codex-max,输入,paid,M,,输入 ¥0.4380/M,0.438,,0.1095,
vip-1-codex,0.25,False,gpt-5.1-codex-max,输出,paid,M,,输出 ¥3.5000/M,3.5,,0.875,
vip-1-codex,0.25,False,gpt-5.1-codex-max-high,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-5.1-codex-max-high,输出,paid,M,,输出 ¥150.0000/M,150,,37.5,
vip-1-codex,0.25,False,gpt-5.1-codex-max-xhigh,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-5.1-codex-max-xhigh,输出,paid,M,,输出 ¥150.0000/M,150,,37.5,
vip-1-codex,0.25,False,gpt-5.1-codex-mini,输入,paid,M,,输入 ¥0.1630/M,0.163,,0.04075,
vip-1-codex,0.25,False,gpt-5.1-codex-mini,输出,paid,M,,输出 ¥1.3000/M,1.3,,0.325,
vip-1-codex,0.25,False,gpt-5.2,输入,paid,M,,输入 ¥0.4380/M,0.438,,0.1095,
vip-1-codex,0.25,False,gpt-5.2,输出,paid,M,,输出 ¥3.5000/M,3.5,,0.875,
vip-1-codex,0.25,False,gpt-5.2-2025-12-11,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-5.2-2025-12-11,输出,paid,M,,输出 ¥150.0000/M,150,,37.5,
vip-1-codex,0.25,False,gpt-5.2-chat-latest,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-5.2-chat-latest,输出,paid,M,,输出 ¥150.0000/M,150,,37.5,
vip-1-codex,0.25,False,gpt-5.2-codex,输入,paid,M,,输入 ¥0.4380/M,0.438,,0.1095,
vip-1-codex,0.25,False,gpt-5.2-codex,输出,paid,M,,输出 ¥3.5000/M,3.5,,0.875,
vip-1-codex,0.25,False,gpt-5.2-codex-high,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-5.2-codex-high,输出,paid,M,,输出 ¥150.0000/M,150,,37.5,
vip-1-codex,0.25,False,gpt-5.2-codex-low,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-5.2-codex-low,输出,paid,M,,输出 ¥150.0000/M,150,,37.5,
vip-1-codex,0.25,False,gpt-5.2-codex-medium,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-5.2-codex-medium,输出,paid,M,,输出 ¥150.0000/M,150,,37.5,
vip-1-codex,0.25,False,gpt-5.2-codex-xhigh,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-5.2-codex-xhigh,输出,paid,M,,输出 ¥150.0000/M,150,,37.5,
vip-1-codex,0.25,False,gpt-5.2-pro,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-5.2-pro,输出,paid,M,,输出 ¥150.0000/M,150,,37.5,
vip-1-codex,0.25,False,gpt-5.2-pro-2025-12-11,输入,paid,M,,输入 ¥18.7500/M,18.75,,4.6875,
vip-1-codex,0.25,False,gpt-5.2-pro-2025-12-11,输出,paid,M,,输出 ¥150.0000/M,150,,37.5,
vip-1-codex,0.25,False,gpt-5.3-codex,输入,paid,M,,输入 ¥0.4380/M,0.438,,0.1095,
vip-1-codex,0.25,False,gpt-5.3-codex,输出,paid,M,,输出 ¥3.5000/M,3.5,,0.875,
vip-1-codex,0.25,False,gpt-5.3-codex-high,输入,paid,M,,输入 ¥0.4500/M,0.45,,0.1125,
vip-1-codex,0.25,False,gpt-5.3-codex-high,输出,paid,M,,输出 ¥3.6000/M,3.6,,0.9,
vip-1-codex,0.25,False,gpt-5.3-codex-low,输入,paid,M,,输入 ¥0.4500/M,0.45,,0.1125,
vip-1-codex,0.25,False,gpt-5.3-codex-low,输出,paid,M,,输出 ¥3.6000/M,3.6,,0.9,
